id_gene_MM,Others MM pheno code
ENSMUSG00000000365,B
ENSMUSG00000002190,C
ENSMUSG00000004018,D
ENSMUSG00000004880,G
ENSMUSG00000005469,C
ENSMUSG00000006920,D
ENSMUSG00000008892,B
ENSMUSG00000010796,A
ENSMUSG00000015365,A
ENSMUSG00000018554,B
ENSMUSG00000019505,A
ENSMUSG00000019971,C
ENSMUSG00000020063,H
ENSMUSG00000020087,B
ENSMUSG00000020593,H
ENSMUSG00000021270,A
ENSMUSG00000021466,H
ENSMUSG00000021595,A
ENSMUSG00000024033,B
ENSMUSG00000025358,A
ENSMUSG00000025912,A
ENSMUSG00000026463,C
ENSMUSG00000027115,E
ENSMUSG00000028212,E
ENSMUSG00000028294,G
ENSMUSG00000028790,A
ENSMUSG00000028830,B
ENSMUSG00000029423,B
ENSMUSG00000030127,G
ENSMUSG00000031446,A
ENSMUSG00000032058,G
ENSMUSG00000032101,B
ENSMUSG00000033644,A
ENSMUSG00000033658,B
ENSMUSG00000033987,B
ENSMUSG00000034007,D
ENSMUSG00000036743,A
ENSMUSG00000037020,A
ENSMUSG00000037514,B
ENSMUSG00000038886,E
ENSMUSG00000039033,B
ENSMUSG00000039463,B
ENSMUSG00000039781,B
ENSMUSG00000039804,B
ENSMUSG00000042406,H
ENSMUSG00000042632,C
ENSMUSG00000043535,A
ENSMUSG00000043648,A
ENSMUSG00000045662,B
ENSMUSG00000045915,B
ENSMUSG00000048230,A
ENSMUSG00000054003,A
ENSMUSG00000054252,G
ENSMUSG00000056832,A
ENSMUSG00000056899,E
ENSMUSG00000059970,A
ENSMUSG00000060985,A
ENSMUSG00000062248,A
ENSMUSG00000069565,A
ENSMUSG00000070871,B
ENSMUSG00000071054,H
ENSMUSG00000073650,G
ENSMUSG00000074817,B
ENSMUSG00000089911,B
ENSMUSG00000015243,G
ENSMUSG00000027379,D
ENSMUSG00000030850,A
ENSMUSG00000045435,G
ENSMUSG00000045631,C
ENSMUSG00000058290,D