control,eggs,hatched
mC,23,23
mC,26,23
mC,25,24
mC,26,22
mC,28,26
mC,19,19
mC,30,30
mC,30,26
mC,25,21
mC,22,19
mC,35,34
mC,26,21
mC,27,26
mC,28,28
mC,17,14
mC,30,29
mC,27,27
mC,23,22
mC,19,19
mC,47,43
mC,30,26
mC,25,24
mC,46,39
mC,57,57
mC,25,24
mC,15,14
mC,26,25
mC,21,21
mC,35,34
mC,37,30
mC,25,19
mC,29,29
mC,36,30
mC,25,19
mC,25,16
mC,21,19
mC,33,31
mC,20,20
mC,18,16
mC,25,21
mC,25,20
mC,21,20
mC,15,15
mC,25,25
mC,28,26
mC,27,26
mC,25,21
mC,25,25
mC,31,31
mC,30,29
mC,27,20
mC,26,26
mC,28,28
mC,25,23
mC,30,28
mC,30,14
mC,30,27
mC,29,29
mC,27,25
mC,26,26
mC,25,22
mC,26,26
mC,25,24
mC,28,26
mC,25,20
mC,25,24
mC,30,30
mC,26,22
mC,24,19
mC,25,18
mC,29,29
mC,27,26
mC,25,25
mC,25,23
mC,27,25
mC,29,25
mC,25,25
mC,27,27
mC,27,23
mC,31,30
mC,27,26
mC,30,30
mC,25,25
mC,29,27
mC,26,24
mC,29,26
mC,25,21
mC,25,22
mC,31,31
mC,30,27
mC,33,29
mC,29,26
mC,22,17
mC,27,25
mC,25,22
mC,25,24
mC,27,24
mC,27,22
mC,33,31
mC,29,28
mC,25,20
mC,25,25
mC,26,24
mC,25,24
mC,26,24
mC,26,23
mC,25,22
mC,26,26
mC,25,21
mC,25,22
mC,26,24
mC,25,23
mC,28,27
mC,29,29
mC,25,25
mC,28,26
mC,25,21
mC,28,23
mC,15,13
mC,26,23
mC,27,26
mC,25,24
mC,29,29
mC,27,27
RPL3,16,0
RPL3,13,0
RPL3,27,0
RPL3,28,0
RPL3,25,0
RPL3,13,0
RPL3,12,0
RPL3,15,0
RPL3,26,0
RPL3,19,0
RPL3,25,0
RPL3,28,0
RPL3,26,0
RPL3,9,0
RPL3,14,0
RPL3,4,0
RPL3,7,0
RPL3,22,0
RPL3,28,0
RPL3,59,0
RPL3,30,0
RPL3,26,0
RPL3,22,0
RPL3,59,0
RPL3,5,0
RPL3,10,0
RPL3,19,0
RPL3,23,0
RPL3,27,0
RPL3,30,0
RPL3,25,0
RPL3,25,0
RPL3,25,0
RPL3,25,0
RPL3,7,0
RPL3,33,0
RPL3,7,0
RPL3,35,0
RPL3,32,0
RPL3,19,0
RPL3,17,0
RPL3,22,0
RPL3,12,0
RPL3,31,0
RPL3,27,0
RPL3,30,0
RPL3,29,0
RPL3,22,0
RPL3,22,0
RPL3,24,0
RPL3,24,0
RPL3,20,0
RPL3,45,0
RPL3,30,0
RPL3,28,0
RPL3,32,0
RPL3,22,0
RPL3,28,0
RPL3,26,0
RPL3,32,0
RPL3,29,0
RPL3,26,0
RPL3,30,0
RPL3,26,0
RPL3,20,0
RPL3,28,0
RPL3,26,0
RPL3,29,0
RPL3,21,0
RPL3,32,0
RPL3,25,0
RPL3,30,0
RPL3,13,0
RPL3,27,0
RPL3,32,0
RPL3,28,0
RPL3,29,0
RPL3,25,0
RPL3,30,0
RPL3,25,0
RPL3,29,0
RPL3,32,0
RPL3,26,0
RPL3,29,0
RPL3,25,0
RPL3,26,0
RPL3,30,0
RPL3,26,0
RPL3,29,0
RPL3,34,0
RPL3,28,0
RPL3,29,0
RPL3,25,0
RPL3,31,0
RPL3,26,0
RPL3,29,0
RPL3,31,0
RPL3,28,0
RPL3,25,0
RPL3,28,0
RPL3,25,0
RPL3,25,0
RPL3,25,0
RPL3,26,0
RPL3,25,0
RPL3,23,0
RPL3,27,0
RPL3,25,0
RPL3,26,0
RPL3,23,0
RPL3,25,0
RPL3,25,0
RPL3,28,0
RPL3,31,0
RPL3,23,0
RPL3,22,0
RPL3,30,0
RPL3,29,0
RPL3,25,0
RPL3,27,0
RPL3,32,0
RPL3,24,0
RPL3,28,0
RPL3,29,0