column,condition-low,condition-high
Spermatogonia_Ad_1,Gonia_Adark,Gonia
Spermatogonia_Ad_2,Gonia_Adark,Gonia
Spermatogonia_Ad_3,Gonia_Adark,Gonia
Spermatogonia_Ad_4,Gonia_Adark,Gonia
Spermatogonia_Ad_5,Gonia_Adark,Gonia
Spermatogonia_Ad_6,Gonia_Adark,Gonia
Spermatogonia_Ap_1,Gonia_Apale,Gonia
Spermatogonia_Ap_2,Gonia_Apale,Gonia
Spermatogonia_Ap_3,Gonia_Apale,Gonia
Spermatogonia_Ap_4,Gonia_Apale,Gonia
Spermatogonia_Ap_5,Gonia_Apale,Gonia
Spermatocytes_Early_1,Cyte_Early,Cyte
Spermatocytes_Early_2,Cyte_Early,Cyte
Spermatocytes_Early_3,Cyte_Early,Cyte
Spermatocytes_Early_4,Cyte_Early,Cyte
Spermatocytes_Early_5,Cyte_Early,Cyte
Spermatocytes_Early_6,Cyte_Early,Cyte
Spermatocytes_Late_1,Cyte_Late,Cyte
Spermatocytes_Late_2,Cyte_Late,Cyte
Spermatocytes_Late_3,Cyte_Late,Cyte
Spermatocytes_Late_4,Cyte_Late,Cyte
Spermatocytes_Late_5,Cyte_Late,Cyte
Spermatocytes_Late_6,Cyte_Late,Cyte
Spermatids_1,Tid,Tid
Spermatids_2,Tid,Tid
Spermatids_3,Tid,Tid
Spermatids_4,Tid,Tid
Spermatids_5,Tid,Tid
Spermatids_6,Tid,Tid
Sperm_1,Sperm,Sperm
Sperm_2,Sperm,Sperm
Sperm_3,Sperm,Sperm
Sperm_4,Sperm,Sperm